id,parent_id,summarized,text,length
fojj9lh,g7tmjx,0,good on you!,4
dqavx7y,7fc9mh,1,Good on you!,4
fod0slq,g6hezn,0,Good on you!,4
dpcgtiz,7asoqz,0,Good on you!,4
gtm3tiz,mlfhl7,1,Good on you!,4
f95738t,e3u8ae,0,Good on you!,4
dw5mja9,86jt7r,1,Good on you!,4
g56xhgz,is38eg,0,Good on you!,4
f0nr3bc,d5rqki,0,Good on you!,4
du2cica,7woeq4,0,Good on you!,4
e07cb75,8p0225,1,Go for it!,4
fqzczfi,glpe3b,0,Go for it!,4
dm6pesz,6wb07d,1,Go for it!,4
dxb30av,8bufke,0,Go for it!,4
fjdhvxb,fcvres,0,Go for it!,4
dpgn8l5,7bb32s,0,Go for it!,4
h73q0r2,oumpsu,1,Go for it!,4
dq01wrz,7dscre,0,Go for it!,4
dd3yx9x,5qze5m,0,Go for it!,4
dkvp77z,6q9rjr,1,Go for it!,4
e6ckfe5,9hk7qe,1,AND HAPPY BIRTHDAY!,4
ds7j6lf,7o85lo,1,and Happy Birthday!,4
dxa2xot,8bqn9c,1,and Happy Birthday!,4
gyygfz9,nhk2k5,1,and happy birthday!,4
ey08m3w,cuucuu,1,And happy birthday!,4
ffty0bk,ev7tfy,1,And happy birthday!,4
ejeiyx7,b5m0zm,1,And happy happy birthday!,5
hhysuxb,qf81ke,1,And happy birthday!,4
gyzgfvr,nhk2k5,1,And happy birthday!,4
fs389cs,gs67t4,1,And Happy Birthday!,4
hit:10150_conv:20300_uttr:2,hit:10150_conv:20300_uttr:1,1,That sounds great!,4
hit:11206_conv:22412_uttr:2,hit:11206_conv:22412_uttr:1,1,That sounds great!,4
emdit3t,bk25mw,1,That sounds great!,4
duph7kv,7zfjlg,1,That sounds great!,4
djx9xje,6lt27a,1,That sounds great!,4
hit:2668_conv:5337_uttr:2,hit:2668_conv:5337_uttr:1,1,That sounds great!,4
hit:4375_conv:8751_uttr:2,hit:4375_conv:8751_uttr:1,1,That sounds great!,4
hit:1680_conv:3361_uttr:2,hit:1680_conv:3361_uttr:1,1,That sounds great!,4
dpykdr8,7dl95t,1,That sounds great!,4
gcvwfrt,jx8c4w,1,That sounds great!,4
e1cdst2,8u3vd8,1,Listening to music.,4
drtdtd3,7mesq4,0,Listening to music.,4
dlgqozc,6swxwz,1,listening to music.,4
h8manto,p2hp36,1,LISTENING TO MUSIC.,4
dccbf7e,5nh5ma,1,Listening to music.,4
dlrh117,6ubxze,0,Listening to music.,4
dsltsbe,7q26dq,1,listening to music.,4
dysqmet,8ilmqz,1,Listening to music.,4
dweg2no,87lz7u,1,Listening to music.,4
dcwx55i,5q5un5,1,Listening to music.,4
fhcgbz5,f28gcl,1,good luck for the future,5
dq5wtrt,7eizfi,1,Good luck in the future.,6
g0tjtdg,i65fhk,1,Good luck for the future.,6
e00qxd8,8o55cq,1,Best of luck in the future.,7
fbcsw7r,ecnvg9,1,Good luck for the future.,6
e6daxe9,9hnam6,1,Good luck in the future.,6
dq6kkne,7eizfi,1,Good luck in the future,5
e018ne8,8o55cq,1,Good luck in the future.,6
g7rui55,j59jzs,1,Good luck for the future,5
eu48d10,ceed2a,1,Good luck for the future,5
etp5p4t,cct8nb,0,That's so sweet!,5
gz3o0jd,niq335,0,That's so sweet!,5
g8zata2,jbuanl,0,That’s so sweet!,5
h64271b,ooqzl4,0,That's so sweet!,5
fkolpky,fjr1sr,1,That’s so sweet!,5
f8njb2r,e163ki,0,That’s so sweet!,5
g5j2t9k,iu12uf,0,That's so sweet!,5
gw7j3vc,n0c1zt,0,That's so sweet!,5
gbyzssz,jsgcmi,0,That's so sweet!,5
f3wck1l,dijnwd,1,That’s so sweet!,5
hiqcv9b,qj73r5,0,Congrats to you!,4
ftd7gwc,gyz4zw,0,Congrats to you!,4
gtw8y9d,mn7lnn,1,Congrats to you!,4
e8fg4ko,9rb0qr,0,Congrats to you!,4
dm7ec3i,6weirn,1,Congrats to you!,4
hgw53i1,q93tbg,1,Congrats to you!,4
ernsi5o,c2zpkh,1,Congrats to you!,4
fy2fylh,hr334x,1,Congrats to you!,4
h2px7na,o627k5,1,Congrats to you!,4
fk37uu3,ffwkld,1,Congrats to you!,4
gz3r90f,niu6d6,1,Nice work!,3
e5zvmaw,9froxp,0,Nice work!,3
e9zh99z,9y35ew,1,Nice work!,3
fid49dh,f7ks3h,1,Nice work!,3
g1z5g82,ibvi21,0,Nice work!,3
eooqel6,bsnuk4,1,Nice work!,3
fy49efb,hr334x,1,Nice work!,3
fh4pft4,f1bu8u,1,Nice work!,3
e9xsi8t,9y35ew,1,Nice work!,3
gcwoxhi,jxc8as,1,Nice work!,3
fi0hva8,f5sp4b,0,Thank you for this.,5
ebh1rh5,a4oex9,0,Thank you for this.,5
dglets1,66swfx,0,Thank you for this.,5
f6vy7hp,dt43ug,0,Thank you for this.,5
e3lzuw7,94j4d3,0,Thank you for this.,5
h66hhzv,op5kee,0,Thank you for this.,5
euilq4r,cgdjhf,0,Thank you for this.,5
ej0atlm,b3jzde,0,Thank you for this.,5
eucme5w,cfufof,1,Thank you for this.,5
euhgh38,cgdjhf,0,Thank you for this.,5
