id,parent_id,summarized,text,length
fruy1l5,goqm7e,0,hello?,2
dhgdgc3,6aji1t,1,Hello?,2
eg91dxs,apjfyn,1,Hello?,2
fp7zfhm,gbtcpt,0,Hello?,2
evknfvd,ck963h,1,Hello?,2
ddd6fyr,5s8ugf,1,Hello?,2
dvsnezv,84vg00,1,HELLO?,2
frkesuz,goqm7e,0,Hello?,2
g3rj1q4,i9pr7m,0,hello?,2
h8dp7yk,p1iqcf,1,hello?,2
hbd4bpv,pgfvtm,1,Oh yeah.,3
dteu181,7trq7b,1,Oh yeah.,3
hj7m15i,qm17ha,1,Oh yeah.,3
ehtoeck,axhr1q,1,Oh yeah.,3
eg4l8uf,aoyzb9,1,Oh yeah.,3
e0efbba,8psx9x,0,Oh yeah,2
dcnay30,5oxem1,1,Oh yeah.,3
dqs04jn,7hlw8s,1,Oh yeah.,3
faa9g3x,e85pcl,1,Oh yeah.,3
e7dhoye,9mbjk4,1,Oh yeah.,3
fng6ghh,g1javm,1,Easy.,2
dong0l6,77o7ot,1,Easy.,2
ffs8e08,euqfaj,1,Easy.,2
f5ytqq6,dpv8ex,1,Easy.,2
dio3dkb,6g76gz,1,Easy.,2
depfi94,5ye17k,1,Easy.,2
e91abmk,9u09ak,1,Easy.,2
h2vs78o,o70d17,1,Easy.,2
h17rs9s,nw2sgo,1,Easy.,2
hcpjk24,pnityl,1,Easy.,2
et29kta,c9smt4,1,Stardew Valley.,3
dl2e97b,6r57sv,1,Stardew Valley.,3
dpd1c7t,7av1qa,1,Stardew Valley.,3
dmezcur,6xd1sp,1,Stardew Valley!,3
eara7q6,a1nrqw,1,Stardew Valley!,3
g68qn6m,ixsxt4,1,Stardew Valley!,3
dsph87u,7qisu4,1,Stardew Valley.,3
dd6909h,5rctet,0,Stardew Valley.,3
dom9ab4,77irjj,1,Stardew Valley.,3
dcfy2bz,5o0tt4,0,Stardew Valley,2
etju5pf,cc1i3s,0,The Office,2
e7thk4b,9oesrn,0,The office,2
dej0rie,5xlip2,0,The Office,2
fllel59,fpk65l,0,The office,2
h6sieb2,ot1mun,0,The office,2
dq5ters,7ej39n,0,The Office,2
ehajaxx,auln0i,0,The Office,2
e5jawju,9dpkgw,0,The Office.,3
e39c99a,92yk2o,0,The Office,2
h6torzy,ot1mun,0,The Office,2
hit:599_conv:1199_uttr:2,hit:599_conv:1199_uttr:1,1,Wow that's awesome!,5
f6l16of,drtiat,0,Wow that’s awesome!,5
g947x7a,jcln9r,0,Wow that's awesome,4
g1iso64,i9sfg1,1,Wow that's awesome!,5
hit:5060_conv:10121_uttr:2,hit:5060_conv:10121_uttr:1,1,Wow that's great!,5
dziq70k,8lu8f4,1,Wow that's wonderful!,5
gxmp9ca,n8xtyw,1,Wow that's awesome!,5
eg15v4s,aoddfl,1,Wow that's great!,5
hit:6283_conv:12566_uttr:2,hit:6283_conv:12566_uttr:1,0,wow that's great!,5
fwztc1d,hljqtl,0,Wow that’s awesome!,5
fwdr23o,hhr9i1,0,Good job 👍,3
gtj9hji,mkmjjg,0,Good job 👍,3
gl6lfbf,l7gjya,0,Good job 👏,3
ha0sdhy,p9xlqx,1,Good job 👏,3
evss16y,cl4j7i,0,Good job 👍,3
fqxk7ld,gl55ly,1,Good job 😊,3
f892dm5,dzopiu,1,Good job 👏,3
g3rhmkf,ilejqs,0,great job 😁,3
fwa3m8m,hhb8dh,0,Good job 👍,3
fusm06e,h8kbo6,1,Good job 😁,3
evbdk14,cj5bq3,1,One day at a time.,6
f1e6l72,d8zq07,1,One day at a time.,6
h60bivz,ooms8x,1,One day at a time.,6
gxs5r70,na3l2i,1,One day at a time.,6
fgjntsp,eypgxx,1,One day at a time.,6
ghoib60,ko5z26,1,One day at a time my friend.,8
f31wwc6,df8txn,1,One day at a time,5
evcd9ga,cjbh2t,1,Just one day at a time.,7
f0ytydb,d7a5i2,1,One day at a time!,6
drzpexa,7n199q,1,A day at a time man,6
hit:8062_conv:16125_uttr:2,hit:8062_conv:16125_uttr:1,1,Oops.,2
dt3bt1t,7s902b,1,Oops.,2
dysvibe,8ilmqz,1,Oops.,2
edrg6g4,aelh9q,1,Oops.,2
fdlzsbz,em2yvm,1,Oops.,2
dyxu3uh,8j5rim,1,Oops.,2
g015ra4,i1v8xg,1,Oops.,2
fra8aaw,gnjzgz,1,Oops.,2
dfzj0kl,644zft,1,Oops.,2
foin2bo,g7no3q,1,Oops.,2
dp18v9e,79e5pj,1,Money.,2
dcknt5s,5omvdf,1,Money.,2
dpncq8n,7c5mb0,0,Money.,2
dko9zpe,6pc6rx,1,Money.,2
embu1nt,bjwp7d,0,Money.,2
ds47k6i,7nsl7k,1,Money.,2
dxawgx6,8bzm60,1,Money.,2
g2ob6id,ifljgh,0,Money.,2
dxavd3k,8bzm60,1,Money.,2
gsuh2br,mgqess,0,Money.,2
